brand,model,fuel,build_year,mileage_km,transmission,body_type,title,price_cents,url
Alfa Romeo,Giulia,Benzine,2018,123930,Automaat,Sedan,Alfa Romeo Giulia 2.0 T AWD Veloce Q4 | Harman Kardon | Stuu,2594000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2411002318-alfa-romeo-giulia-2-0-t-awd-veloce-q4-harman-kardon-stuu
Alfa Romeo,156,Benzine,2000,172600,Handgeschakeld,Sedan,Alfa Romeo 156 1.8-16V T.Spark 2000. Airco/Leder/Trekhaak et,299900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410999238-alfa-romeo-156-1-8-16v-t-spark-2000-airco-leder-trekhaak-et
Alfa Romeo,MiTo,Diesel,2013,103182,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.3 JTDm ECO Distinctive LEDER UNIEKE STAND,499900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410996984-alfa-romeo-mito-1-3-jtdm-eco-distinctive-leder-unieke-stand
Alfa Romeo,159,Benzine,2010,172239,Automaat,Stationwagon,Alfa Romeo 159 Sportwagon 2.2 JTS Selespeed TI 2010 Zwart Xe,399500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410996035-alfa-romeo-159-sportwagon-2-2-jts-selespeed-ti-2010-zwart-xe
Alfa Romeo,Giulia,Benzine,2020,115281,Automaat,Sedan,"Alfa Romeo Giulia 2.0T Super, 200Pk, 2020, 1ste eigenaar, Vo",2745000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410982057-alfa-romeo-giulia-2-0t-super-200pk-2020-1ste-eigenaar-vo
Alfa Romeo,MiTo,Benzine,2013,67681,Handgeschakeld,Hatchback,Alfa Romeo MiTo SBK 1.4 105PK | Lage km stand (bj 2013),794000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410980953-alfa-romeo-mito-sbk-1-4-105pk-lage-km-stand-bj-2013
Alfa Romeo,MiTo,Diesel,2013,218847,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.3 JTDm DISTINCTIVE + LEDER | TREKHAAK,295000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410979168-alfa-romeo-mito-1-3-jtdm-distinctive-leder-trekhaak
Alfa Romeo,Giulietta,Benzine,2017,190976,Automaat,Hatchback,Alfa Romeo Giulietta 1.4 Turbo MultiAir Super 200 PK | Alcan,999500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410976330-alfa-romeo-giulietta-1-4-turbo-multiair-super-200-pk-alcan
Alfa Romeo,MiTo,Benzine,2014,135627,Handgeschakeld,Hatchback,"Alfa Romeo MiTo, 2014, Sport, NAP, recent onderhoud",525000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410972974-alfa-romeo-mito-2014-sport-nap-recent-onderhoud
Alfa Romeo,MiTo,Benzine,2018,66401,Handgeschakeld,Hatchback,Alfa Romeo MiTo 0.9 TwinAir Lichtmetalen velgen 17'' Climate,1189000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410947365-alfa-romeo-mito-0-9-twinair-lichtmetalen-velgen-17-climate
Alfa Romeo,Giulia,Benzine,2020,79031,Automaat,Sedan,Alfa Romeo Giulia 2.0T Veloce AWD 280pk | Pano-dak | Harman/,4090000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410946835-alfa-romeo-giulia-2-0t-veloce-awd-280pk-pano-dak-harman
Alfa Romeo,Tonale,Hybride Elektrisch/Benzine,2024,14764,Automaat,SUV of Terreinwagen,Alfa Romeo Tonale 1.3T PHEV Ti Automaat 280 PK Climate contr,2989000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410940812-alfa-romeo-tonale-1-3t-phev-ti-automaat-280-pk-climate-contr
Alfa Romeo,Giulia,Benzine,2017,173866,Handgeschakeld,Sedan,Alfa Romeo Giulia 2.9 V6 Quadrifoglio Manual,4490000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410930407-alfa-romeo-giulia-2-9-v6-quadrifoglio-manual
Alfa Romeo,MiTo,Benzine,2016,191136,Handgeschakeld,Hatchback,Alfa Romeo MiTo 0.9 TwinAir Exclusive CRUISE|LEDER|PDC,549900,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2406052630-alfa-romeo-mito-0-9-twinair-exclusive-cruise-leder-pdc
Alfa Romeo,Tonale,Hybride Elektrisch/Benzine,2023,65724,Automaat,SUV of Terreinwagen,Alfa Romeo Tonale 1.3T PHEV Ti | AWD | 360 graden camera | P,2890000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410927339-alfa-romeo-tonale-1-3t-phev-ti-awd-360-graden-camera-p
Alfa Romeo,Giulietta,Benzine,2015,110358,Handgeschakeld,Hatchback,Alfa Romeo Giulietta 1.4 T Sprint - TREKHAAK - ALCANTARA - P,879500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410927125-alfa-romeo-giulietta-1-4-t-sprint-trekhaak-alcantara-p
Alfa Romeo,MiTo,Benzine,2013,187558,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 Progression 2013(NIEUWE APK),430000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410925957-alfa-romeo-mito-1-4-progression-2013-nieuwe-apk
Alfa Romeo,MiTo,Benzine,2009,234429,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 Distinctive Inruil mogelijk,189500,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410925480-alfa-romeo-mito-1-4-distinctive-inruil-mogelijk
Alfa Romeo,Giulia,Benzine,1965,,Handgeschakeld,Sedan,Alfa Romeo Giulia Rally auto met 2.0 Techniek,3250000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2380444079-alfa-romeo-giulia-rally-auto-met-2-0-techniek
Alfa Romeo,Giulia,Benzine,1966,8965,,Sedan,Alfa romeo Giulia 1300 ti,1995000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410914328-alfa-romeo-giulia-1300-ti
Alfa Romeo,MiTo,Diesel,2012,260375,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.3 JTDm ECO Distinctive,295000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2410913792-alfa-romeo-mito-1-3-jtdm-eco-distinctive
Alfa Romeo,MiTo,Benzine,2010,163738,Handgeschakeld,Hatchback,Alfa Romeo MiTo 1.4 Progression (bj 2010),249000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2403805641-alfa-romeo-mito-1-4-progression-bj-2010
Alfa Romeo,,Benzine,1983,,,Cabriolet,Alfa Romeo Alfa-romeo 1983,995000,https://www.marktplaats.nl/v/auto-s/alfa-romeo/m2390768087-alfa-romeo-alfa-romeo-1983
